SN:3K60190400001658 BD:Jun 13 2018 VC:1b25605 MD5:b432f7351a2db2ad2f028115de159f2d
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [N2O]_ppm,   [N2O]_ppm_sd,     [N2O]d_ppm,  [N2O]d_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         LTC0_v,      LTC0_v_sd,           AIN5,        AIN5_sd,         DetOff,      DetOff_sd, Temp_Status_mA,Temp_Status_mA_sd,Analyzer_Status_mA,Analyzer_Status_mA_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  02/04/2023 15:35:55.178,    1.942324e+0,    0.000000e+0,    1.031258e+4,    0.000000e+0,    3.295283e-1,    0.000000e+0,    3.329620e-1,    0.000000e+0,    1.962563e+0,    0.000000e+0,    8.473541e+1,    0.000000e+0,    2.111001e+1,    0.000000e+0,    1.887150e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063242e+0,    0.000000e+0,   -1.037532e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:35:56.173,    1.946226e+0,    0.000000e+0,    1.040828e+4,    0.000000e+0,    3.296722e-1,    0.000000e+0,    3.331396e-1,    0.000000e+0,    1.966695e+0,    0.000000e+0,    8.473240e+1,    0.000000e+0,    2.111028e+1,    0.000000e+0,    1.886023e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063279e+0,    0.000000e+0,   -1.037532e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:35:57.168,    1.943707e+0,    0.000000e+0,    1.025952e+4,    0.000000e+0,    3.278657e-1,    0.000000e+0,    3.312643e-1,    0.000000e+0,    1.963855e+0,    0.000000e+0,    8.473162e+1,    0.000000e+0,    2.111085e+1,    0.000000e+0,    1.886787e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063300e+0,    0.000000e+0,   -1.037690e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:35:58.162,    1.940949e+0,    0.000000e+0,    1.029669e+4,    0.000000e+0,    3.293326e-1,    0.000000e+0,    3.327589e-1,    0.000000e+0,    1.961143e+0,    0.000000e+0,    8.473103e+1,    0.000000e+0,    2.111105e+1,    0.000000e+0,    1.887537e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063256e+0,    0.000000e+0,   -1.037690e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:35:59.156,    1.941331e+0,    0.000000e+0,    1.034776e+4,    0.000000e+0,    3.273679e-1,    0.000000e+0,    3.307909e-1,    0.000000e+0,    1.961630e+0,    0.000000e+0,    8.473283e+1,    0.000000e+0,    2.111102e+1,    0.000000e+0,    1.887059e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063314e+0,    0.000000e+0,   -1.037848e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:36:00.151,    1.943234e+0,    0.000000e+0,    1.031497e+4,    0.000000e+0,    3.288553e-1,    0.000000e+0,    3.322828e-1,    0.000000e+0,    1.963487e+0,    0.000000e+0,    8.473786e+1,    0.000000e+0,    2.111159e+1,    0.000000e+0,    1.887284e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063297e+0,    0.000000e+0,   -1.037848e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:36:01.146,    1.939768e+0,    0.000000e+0,    1.029863e+4,    0.000000e+0,    3.286016e-1,    0.000000e+0,    3.320210e-1,    0.000000e+0,    1.959953e+0,    0.000000e+0,    8.473151e+1,    0.000000e+0,    2.111239e+1,    0.000000e+0,    1.888088e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063243e+0,    0.000000e+0,   -1.038005e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:36:02.140,    1.940268e+0,    0.000000e+0,    1.029874e+4,    0.000000e+0,    3.277278e-1,    0.000000e+0,    3.311381e-1,    0.000000e+0,    1.960458e+0,    0.000000e+0,    8.473835e+1,    0.000000e+0,    2.111057e+1,    0.000000e+0,    1.888687e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063275e+0,    0.000000e+0,   -1.038163e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:36:03.135,    1.943044e+0,    0.000000e+0,    1.037410e+4,    0.000000e+0,    3.296860e-1,    0.000000e+0,    3.331420e-1,    0.000000e+0,    1.963413e+0,    0.000000e+0,    8.473811e+1,    0.000000e+0,    2.111158e+1,    0.000000e+0,    1.889985e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063235e+0,    0.000000e+0,   -1.038163e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:36:04.129,    1.942580e+0,    0.000000e+0,    1.033637e+4,    0.000000e+0,    3.288403e-1,    0.000000e+0,    3.322748e-1,    0.000000e+0,    1.962869e+0,    0.000000e+0,    8.473943e+1,    0.000000e+0,    2.111080e+1,    0.000000e+0,    1.889217e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063248e+0,    0.000000e+0,   -1.038321e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:36:05.131,    1.943933e+0,    0.000000e+0,    1.027628e+4,    0.000000e+0,    3.295044e-1,    0.000000e+0,    3.329256e-1,    0.000000e+0,    1.964117e+0,    0.000000e+0,    8.473186e+1,    0.000000e+0,    2.111265e+1,    0.000000e+0,    1.888273e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063243e+0,    0.000000e+0,   -1.038321e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:36:06.126,    1.940808e+0,    0.000000e+0,    1.040383e+4,    0.000000e+0,    3.291401e-1,    0.000000e+0,    3.326004e-1,    0.000000e+0,    1.961212e+0,    0.000000e+0,    8.473128e+1,    0.000000e+0,    2.111176e+1,    0.000000e+0,    1.890234e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063249e+0,    0.000000e+0,   -1.038478e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:36:07.119,    1.942836e+0,    0.000000e+0,    1.023389e+4,    0.000000e+0,    3.291085e-1,    0.000000e+0,    3.325114e-1,    0.000000e+0,    1.962925e+0,    0.000000e+0,    8.473707e+1,    0.000000e+0,    2.111138e+1,    0.000000e+0,    1.889660e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063365e+0,    0.000000e+0,   -1.038478e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:36:08.115,    1.942344e+0,    0.000000e+0,    1.041730e+4,    0.000000e+0,    3.296769e-1,    0.000000e+0,    3.331474e-1,    0.000000e+0,    1.962791e+0,    0.000000e+0,    8.473765e+1,    0.000000e+0,    2.111301e+1,    0.000000e+0,    1.889162e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063350e+0,    0.000000e+0,   -1.038636e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:36:09.108,    1.939869e+0,    0.000000e+0,    1.030543e+4,    0.000000e+0,    3.288854e-1,    0.000000e+0,    3.323100e-1,    0.000000e+0,    1.960069e+0,    0.000000e+0,    8.473298e+1,    0.000000e+0,    2.111191e+1,    0.000000e+0,    1.890131e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063342e+0,    0.000000e+0,   -1.038636e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:36:10.103,    1.942362e+0,    0.000000e+0,    1.034403e+4,    0.000000e+0,    3.297234e-1,    0.000000e+0,    3.331697e-1,    0.000000e+0,    1.962664e+0,    0.000000e+0,    8.473360e+1,    0.000000e+0,    2.110960e+1,    0.000000e+0,    1.890240e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063379e+0,    0.000000e+0,   -1.038794e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:36:11.098,    1.944195e+0,    0.000000e+0,    1.041469e+4,    0.000000e+0,    3.291004e-1,    0.000000e+0,    3.325639e-1,    0.000000e+0,    1.964656e+0,    0.000000e+0,    8.473728e+1,    0.000000e+0,    2.110888e+1,    0.000000e+0,    1.891006e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063390e+0,    0.000000e+0,   -1.038794e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:36:12.092,    1.946362e+0,    0.000000e+0,    1.032300e+4,    0.000000e+0,    3.282067e-1,    0.000000e+0,    3.316301e-1,    0.000000e+0,    1.966664e+0,    0.000000e+0,    8.473984e+1,    0.000000e+0,    2.111242e+1,    0.000000e+0,    1.891587e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063356e+0,    0.000000e+0,   -1.038951e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:36:13.087,    1.942423e+0,    0.000000e+0,    1.037162e+4,    0.000000e+0,    3.294350e-1,    0.000000e+0,    3.328876e-1,    0.000000e+0,    1.962780e+0,    0.000000e+0,    8.473166e+1,    0.000000e+0,    2.111154e+1,    0.000000e+0,    1.892128e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063278e+0,    0.000000e+0,   -1.039109e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:36:14.081,    1.942593e+0,    0.000000e+0,    1.038197e+4,    0.000000e+0,    3.281573e-1,    0.000000e+0,    3.316000e-1,    0.000000e+0,    1.962973e+0,    0.000000e+0,    8.473488e+1,    0.000000e+0,    2.111212e+1,    0.000000e+0,    1.891740e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063299e+0,    0.000000e+0,   -1.039109e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:36:15.076,    1.945289e+0,    0.000000e+0,    1.028457e+4,    0.000000e+0,    3.290747e-1,    0.000000e+0,    3.324943e-1,    0.000000e+0,    1.965504e+0,    0.000000e+0,    8.473088e+1,    0.000000e+0,    2.111225e+1,    0.000000e+0,    1.891806e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063303e+0,    0.000000e+0,   -1.039266e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:36:16.070,    1.946274e+0,    0.000000e+0,    1.044761e+4,    0.000000e+0,    3.292504e-1,    0.000000e+0,    3.327266e-1,    0.000000e+0,    1.966822e+0,    0.000000e+0,    8.473845e+1,    0.000000e+0,    2.111269e+1,    0.000000e+0,    1.892709e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063409e+0,    0.000000e+0,   -1.039266e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:36:17.065,    1.940577e+0,    0.000000e+0,    1.033878e+4,    0.000000e+0,    3.281215e-1,    0.000000e+0,    3.315493e-1,    0.000000e+0,    1.960850e+0,    0.000000e+0,    8.473931e+1,    0.000000e+0,    2.111074e+1,    0.000000e+0,    1.893094e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063347e+0,    0.000000e+0,   -1.039424e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:36:18.059,    1.942574e+0,    0.000000e+0,    1.035834e+4,    0.000000e+0,    3.297948e-1,    0.000000e+0,    3.332467e-1,    0.000000e+0,    1.962907e+0,    0.000000e+0,    8.473604e+1,    0.000000e+0,    2.110921e+1,    0.000000e+0,    1.893152e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063323e+0,    0.000000e+0,   -1.039424e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
  02/04/2023 15:36:19.054,    1.945087e+0,    0.000000e+0,    1.039612e+4,    0.000000e+0,    3.283957e-1,    0.000000e+0,    3.318456e-1,    0.000000e+0,    1.965520e+0,    0.000000e+0,    8.473510e+1,    0.000000e+0,    2.111104e+1,    0.000000e+0,    1.892180e+1,    0.000000e+0,    8.500000e-1,    0.000000e+0,    2.695943e-1,    0.000000e+0,    1.063325e+0,    0.000000e+0,   -1.039582e+3,    0.000000e+0,    2.000000e+1,    0.000000e+0,    9.000000e+0,    0.000000e+0,              3,             -1,       Disabled
